Login,Name,Website on GitHub,Email,Sub-tier,Sub-tier_URL,Department/Independent Agency,Department/Independent Agency_URL,Notes,Other Websites
18f,18F,https://18f.gsa.gov/,18f@gsa.gov,18F,https://18f.gsa.gov/,General Services Administration,https://www.gsa.gov/,"18F builds effective, user-centric digital services focused on the interaction between government & the people it serves. Provided by GSA.",
adl-aicc,ADL-AICC,https://adlnet.gov/,,,,U.S. Department of Defense,https://www.defense.gov/,"AICC to ADL Transition. The Aviation Industry Computer-Based Training Committee (AICC) existed from 1988 to 2014. It created learning technology specifications used widely in the eLearning industry (inside and outside of aviation). Prior to its dissolution, the AICC transfered all its documents to the ADL to ensure continued access for the public. ADL (Advanced Distributed Learning) Initiative is a government program reporting to the Deputy Assistant Secretary of Defense for Force Education and Training (DASD(FE&T)), under the Office of the Assistant Secretary of Defense for Readiness (ASD(R)).",
adlnet,Advanced Distributed Learning (ADL),https://adlnet.gov/,adlhelpdesk@adlnet.gov,,,U.S. Department of Defense,https://www.defense.gov/,,
afrl,Air Force Research Labs,https://www.wpafb.af.mil/AFRL/,,Air Force Research Laboratory,https://www.wpafb.af.mil/AFRL/,U.S. Department of Defense,https://www.defense.gov/,Operated by the United States Air Force Materiel Command.,https://afresearchlab.com/
afseo,Air Force SEEK EAGLE Office,,,Air Force SEEK EAGLE Office,https://www.eglin.af.mil,U.S. Department of Defense,https://www.defense.gov/,"The Air Force SEEK EAGLE Office, a part of the 96th Test Wing at Eglin AFB, is the USAF center of excellence responsible for managing the aircraft-store compatibility process.",https://www.eglin.af.mil/About-Us/Fact-Sheets/Display/Article/813641/air-force-seek-eagle-office/
arcticlcc,Arctic LCC,http://arcticlcc.org/,,,,U.S. Department of the Interior,https://www.doi.gov/,"Facilitated by the Department of the Interior, Landscape Conservation Cooperatives (LCCs) were established to provide a collaborative approach to conservation management. The Arctic Landscape Conservation Cooperative (LCC) conducts applied science and develops tools to support conservation and responsible resource development in the Arctic.",
BBGInnovate,Broadcasting Board of Governors,https://www.bbg.gov/,,,,U.S. Agency for Global Media,https://www.usagm.gov/,"The Broadcasting Board of Governors is now the
 United States Agency for Global Media.",
bfelob,Budget Formulation and Execution Line of Business,https://bfelob.gov,,,,U.S. Department of Education,https://www.ed.gov/,"The Budget Formulation and Execution Line of Business, known as the Budget LoB, is a partnership between the Program Management Office (PMO) housed at the Department of Education, the Budget Systems Branch at the Office of Management and Budget (OMB), and over two dozen Partner Agency budget offices. The focus of the Budget Formulation and Execution Line of Business (BFE LoB) is to continue to build a ""budget office of the future"" by promoting information sharing across government agency budget offices.",http://www.budgetlob.gov
blue-button,Blue Button,,,,,,,"The Blue Button is a system for patients to view online and download their own personal health records. Several Federal agencies, including the Departments of Defense, Health and Human Services, and Veterans Affairs, implemented this capability for their beneficiaries.",
businessusa,BusinessUSA,,,BusinessUSA,http://business.usa.gov,General Services Administration,https://www.gsa.gov/,"THE U.S. GOVERNMENT PORTAL FOR AMERICAN BUSINESSES, exporters and entrepreneurs, BusinessUSA helps businesses small and large find the right tools, funding, services and information quickly and easily to help them at all stages of their business, from starting up to going global.",
CA-CST-Library,CA-CST Code Reuse Library,,,Bureau of Consular Affairs,https://travel.state.gov/,U.S. Department of State,https://www.state.gov/,"Library dedicated to open source code reuse, for Consular Systems and Technology division",
CA-CST-SII,CA/CST/Systems Integration & Innovation Division,https://ca-cst-sii.github.io/,CA-CST-SII-SEI@state.gov,Bureau of Consular Affairs,https://travel.state.gov/,U.S. Department of State,https://www.state.gov/,,
ccmc,Community Coordinated Modeling Center,http://ccmc.gsfc.nasa.gov/index.php,,NASA Goddard Space Flight Center,https://www.nasa.gov/goddard,National Aeronautics and Space Administration,https://www.nasa.gov/,"The CCMC is a multi-agency partnership to enable, support and perform the research and development for next-generation space science and space weather models.",
CDCgov,Centers for Disease Control and Prevention,http://open.cdc.gov/,data@cdc.gov,Centers for Disease Control and Prevention,https://www.cdc.gov/,U.S. Department of Health and Human Services,https://www.hhs.gov/,"Collaborative software projects used by CDC to protect America from health, safety and security threats, both foreign and in the U.S.",
cfpb,Consumer Financial Protection Bureau,https://cfpb.github.io/,,,,Consumer Financial Protection Bureau,https://www.consumerfinance.gov/,,
cisagov,Cyber and Infrastructure Security Agency,https://cisa.gov,ncats_info@hq.dhs.gov,Cyber and Infrastructure Security Agency,https://www.cisa.gov/,U.S. Department of Homeland Security,https://www.dhs.gov/,,
